tag_id;name;category;count
722007;katyusha_(girls_und_panzer);4;2970
413396;giorno_giovanna;4;2969
713714;kay_(girls_und_panzer);4;2969
403357;nia_teppelin;4;2963
1342592;shimada_arisu;4;2960
1646761;tokai_teio_(umamusume);4;2957
1667136;ump45_(girls'_frontline);4;2944
644424;nami_(one_piece);4;2942
12355;uzumaki_naruto;4;2929
1631514;z1_leberecht_maass_(kancolle);4;2922
398775;sheryl_nome;4;2917
1594094;pecorine_(princess_connect!);4;2909
1491767;murasaki_shion;4;2907
1441167;ayanami_(azur_lane);4;2900
660098;futaba_anzu;4;2897
1292959;uraraka_ochako;4;2895
1386438;saihara_shuuichi;4;2891
1480186;takarada_rikka;4;2888
1529309;anya_(spy_x_family);4;2877
9077;miura_azusa;4;2873
1631389;taihou_(kancolle);4;2873
1631516;z3_max_schultz_(kancolle);4;2866
3030;mario;4;2863
445932;eevee;4;2860
1478507;iskandar_(fate);4;2845
1275713;akigumo_(kancolle);4;2844
1631134;kuma_(kancolle);4;2842
375279;waver_velvet;4;2840
13543;hyuuga_hinata;4;2831
620175;mikasa_ackerman;4;2829
407911;jonathan_joestar;4;2825
1533759;barbara_(genshin_impact);4;2822
9074;hagiwara_yukiho;4;2821
1631474;warspite_(kancolle);4;2821
1630673;fusou_(kancolle);4;2818
1054766;chloe_von_einzbern;4;2812
1462591;narmaya_(granblue_fantasy);4;2808
437574;shirai_kuroko;4;2803
1631023;i-401_(kancolle);4;2794
711691;motoori_kosuzu;4;2792
663996;jougasaki_rika;4;2791
1337035;leon_(pokemon);4;2791
1631239;non-human_admiral_(kancolle);4;2788
1262414;izumi_sagiri;4;2785
411462;aisaka_taiga;4;2782
11349;ryuuguu_rena;4;2779
539110;yuki_miku;4;2778
700406;reizei_mako;4;2774
1317065;usami_sumireko;4;2771
1417248;common_raccoon_(kemono_friends);4;2769
1431828;elizabeth_bathory_(fate);4;2767
1799500;asuna_(bunny)_(blue_archive);4;2765
508752;pyonta;4;2764
1276066;hoto_cocoa;4;2751
660394;midorikawa_nao;4;2740
1380244;kumano_(kancolle);4;2730
1240694;ruby_rose;4;2718
170637;lelouch_lamperouge;4;2716
1627605;kama_(fate);4;2713
406263;satonaka_chie;4;2711
1524374;lappland_(arknights);4;2710
476837;holo;4;2701
1544892;raihan_(pokemon);4;2699
407910;higashikata_josuke;4;2697
1705933;monster_hunter_(character);4;2693
1442947;ch'en_(arknights);4;2693
660393;kise_yayoi;4;2690
1246772;mankanshoku_mako;4;2690
539789;beatrice_(umineko);4;2688
1599614;jean_(genshin_impact);4;2687
12514;shiranui_mai;4;2686
664492;maekawa_miku;4;2679
1630489;aoba_(kancolle);4;2677
1631010;hyuuga_(kancolle);4;2676
